Store,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,isTypeA,isTypeB,isTypeC,isTypeD,isAssortmentBasic,isAssortmentExtra,isAssortmentExtended,PromoIntervalList,TimesPromo2RenewedEachYear
1,1270.0,9.0,2008.0,0,0.0,0.0,0,0,1,0,1,0,0,0,0
2,570.0,11.0,2007.0,1,13.0,2010.0,1,0,0,0,1,0,0,"[1, 4, 7, 10]",4
3,14130.0,12.0,2006.0,1,14.0,2011.0,1,0,0,0,1,0,0,"[1, 4, 7, 10]",4
4,620.0,9.0,2009.0,0,0.0,0.0,0,0,1,0,0,0,1,0,0
5,29910.0,4.0,2015.0,0,0.0,0.0,1,0,0,0,1,0,0,0,0
6,310.0,12.0,2013.0,0,0.0,0.0,1,0,0,0,1,0,0,0,0
7,24000.0,4.0,2013.0,0,0.0,0.0,1,0,0,0,0,0,1,0,0
8,7520.0,10.0,2014.0,0,0.0,0.0,1,0,0,0,1,0,0,0,0
9,2030.0,8.0,2000.0,0,0.0,0.0,1,0,0,0,0,0,1,0,0
10,3160.0,9.0,2009.0,0,0.0,0.0,1,0,0,0,1,0,0,0,0
11,960.0,11.0,2011.0,1,1.0,2012.0,1,0,0,0,0,0,1,"[1, 4, 7, 10]",4
12,1070.0,0.0,0.0,1,13.0,2010.0,1,0,0,0,0,0,1,"[1, 4, 7, 10]",4
13,310.0,0.0,0.0,1,45.0,2009.0,0,0,0,1,1,0,0,"[2, 5, 8, 11]",4
14,1300.0,3.0,2014.0,1,40.0,2011.0,1,0,0,0,1,0,0,"[1, 4, 7, 10]",4
15,4110.0,3.0,2010.0,1,14.0,2011.0,0,0,0,1,0,0,1,"[1, 4, 7, 10]",4
16,3270.0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,1,0,0
17,50.0,12.0,2005.0,1,26.0,2010.0,1,0,0,0,1,0,0,"[1, 4, 7, 10]",4
18,13840.0,6.0,2010.0,1,14.0,2012.0,0,0,0,1,0,0,1,"[1, 4, 7, 10]",4
19,3240.0,0.0,0.0,1,22.0,2011.0,1,0,0,0,0,0,1,"[3, 6, 9, 12]",4
20,2340.0,5.0,2009.0,1,40.0,2014.0,0,0,0,1,1,0,0,"[1, 4, 7, 10]",4
21,550.0,10.0,1999.0,1,45.0,2009.0,0,0,1,0,0,0,1,"[1, 4, 7, 10]",4
22,1040.0,0.0,0.0,1,22.0,2012.0,1,0,0,0,1,0,0,"[1, 4, 7, 10]",4
23,4060.0,8.0,2005.0,0,0.0,0.0,0,0,0,1,1,0,0,0,0
24,4590.0,3.0,2000.0,1,40.0,2011.0,1,0,0,0,0,0,1,"[1, 4, 7, 10]",4
25,430.0,4.0,2003.0,0,0.0,0.0,0,0,1,0,1,0,0,0,0
26,2300.0,0.0,0.0,0,0.0,0.0,0,0,0,1,1,0,0,0,0
27,60.0,1.0,2005.0,1,5.0,2011.0,1,0,0,0,1,0,0,"[1, 4, 7, 10]",4
28,1200.0,10.0,2014.0,1,6.0,2015.0,1,0,0,0,1,0,0,"[3, 6, 9, 12]",4
29,2170.0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0,1,0,0
